erode_kernel,erode_iter,dilate_kernel,dilate_iter,width,blocksize,constant,thresh_type,scanned,word count
3,1,3,1,750,71,9,gaussian,False,56
3,1,3,1,750,111,19,gaussian,False,56
3,1,3,1,650,171,7,gaussian,False,56
3,1,3,1,650,171,7,gaussian,False,56
3,1,3,1,700,131,17,gaussian,False,57
3,1,3,1,750,51,13,mean,False,57
3,1,3,1,750,51,19,gaussian,False,57
3,1,3,1,750,71,15,gaussian,False,57
3,1,3,1,650,111,9,gaussian,False,58
3,1,3,1,700,51,17,mean,False,58
3,1,3,1,700,151,17,gaussian,False,58
3,1,3,1,700,171,17,gaussian,False,58
3,1,3,1,750,51,17,gaussian,False,58
3,1,3,1,750,71,19,mean,False,58
3,1,3,1,750,131,19,gaussian,False,58
3,1,3,1,750,191,19,gaussian,False,58
3,1,3,1,700,111,15,gaussian,False,59
3,1,3,1,750,71,19,gaussian,False,59
3,1,3,1,750,91,19,mean,False,59
3,1,3,1,700,111,7,gaussian,False,59
3,1,3,1,650,51,11,gaussian,False,61
3,1,3,1,750,91,11,gaussian,False,61
3,1,3,1,750,171,19,gaussian,False,61
3,1,3,1,750,171,11,gaussian,False,65
3,1,3,1,750,111,17,gaussian,False,66
